objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
0864;Design Museum Gent;paneel (objectnaam);Paneel met ajour maaswerk;Massief paneel met opengewerkt maaswerk. Maaswerk  was kenmerkend voor het gotische raamwerk voor vensters. Als achtergrond werd een stuk textiel aan het paneel toegevoegd. De opbouw van het paneel vertoont sterke gelijkenissen met een ander paneel in de collectie van het museum.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0865;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon;Massief paneel met mannenportret in een centraal medaillon. Het medaillon is omgeven door grotesken en arabesken.;1520;1560;onbekendonbekend;ontwerperuitvoerder;""
0866;Design Museum Gent;paneel (objectnaam);Paneel met centrale dubbele bloem;Massief paneel met centrale dubbele bloem omgeven door gestileerde arabesken. Op een van de lange zijden ontbreekt ongeveer 2 cm van de versiering. ;1520;1580;onbekendonbekend;ontwerperuitvoerder;""
0867;Design Museum Gent;paneel (objectnaam);Paneel met ajour maaswerk;Eenvoudig massief paneel met opengewerkt maaswerk. Maaswerk was kenmerkend voor het gotische raamwerk van vensters.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0868;Design Museum Gent;paneel (objectnaam)onderdeel;Paneel met 'De doodsangst van Christus in de hof van olijven';Massief paneel met een voorstelling van Christus met op de achtergrond een rondboog op zuilen. Vermoedelijk wordt 'De doodsangst van Christus in de hof van olijven' afgebeeld. Op de brede bovenrand zijn verbindingsgaten te zien. In de collectie van het museum bevindt zich een paneel met een voorstelling van 'Jezus in de tempel' dat vermoedelijk van hetzelfde meubel afkomstig is of door hetzelfde atelier werd geproduceerd. ;1520;1580;onbekendonbekend;ontwerperuitvoerder;""
0869;Design Museum Gent;paneel (objectnaam);Paneel met 'Jezus in de tempel';Massief paneel met een voorstelling van Christus met op de achtergrond een rondboog op zuilen. Vermoedelijk wordt 'De doodsangst van Christus in de hof van olijven' afgebeeld. In de collectie van het museum bevindt zich een paneel met een voorstelling van 'De doodsangst van Christus in de Hof van olijven' dat vermoedelijk van hetzelfde meubel afkomstig is of door hetzelfde atelier werd geproduceerd. ;1500;1580;onbekendonbekend;ontwerperuitvoerder;""
0870;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met gevlamd maaswerk met bovenaan acanthusbladeren. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0871;Design Museum Gent;paneel (objectnaam)kast;Paneel met centraal portretmedaillon;Massief paneel met een mannenportret in een centraal medaillon. Het medaillon is omgeven door grotesken. Het paneel vormde vermoedelijk het voorbord van een lade. Op de linker- en rechterachterzijde zijn zwaluwstaartverbindingen zichtbaar. De vier randprofielen werden in verstek samengebracht. Aan de lange zijden werden ze uit het paneel zelf gesneden, terwijl ze aan de korte zijden met nagels aan het paneel bevestigd werden. Een gelijkaardig paneel met een vrouwenportret in een centraal medaillon in de collectie van het museum is vermoedelijk afkomstig van hetzelfde meubel.;1520;1570;onbekendonbekend;ontwerperuitvoerder;""
0872;Design Museum Gent;paneel (objectnaam);Paneel met ajour maaswerk;Massief paneel met opengewerkt maaswerk. Maaswerk was kenmerkend voor het gotische raamwerk van vensters. De opbouw van het paneel toont sterke gelijkenissen met een ander paneel in de collectie van het museum.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0873;Design Museum Gent;paneel (objectnaam);Paneel met wapenschild in maaswerk;Massief paneel met gevlamd maaswerk. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. In het maaswerk werd een wapenschild met twee Franse lelies en twee dolfijnen afgebeeld. De versiering wordt begrensd door een sterk geprofileerde V-vormige kantlijst met in de hoeken een hoekkruis. Deze lijst wordt niet vervolledigd aan de onderkant, wat kenmerkend is voor gotische panelen.;1400;1550;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0874;Design Museum Gent;paneel (objectnaam);Fragment van een paneel;Fragment van een massief paneel met een versiering van verschillende slingers die in elkaar vervlochten werden. Aan de rechterkant werd een portret gesneden.;1560;1620;onbekendonbekend;ontwerperuitvoerder;""
0875;Design Museum Gent;paneel (objectnaam);Paneel met lederversiering en bladwerk;Massief paneel met X-motief en bladwerk.;1400;1550;onbekendonbekend;ontwerperuitvoerder;""
0876;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met gevlamd maaswerk met vier rozetten onder acanthusbladeren. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. De opbouw van het paneel vertoont sterke gelijkenissen met een ander paneel in de collectie van het museum.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0878;Design Museum Gent;paneel (objectnaam);Paneel met lederversiering en druivenranken;Massief paneel met X-motief en druivenranken. De aanzettekening is duidelijk zichtbaar. In het midden van elk druivenblad is de afdruk van een halfronde beitel te zien.;1450;1550;onbekendonbekend;ontwerperuitvoerder;""
0879;Design Museum Gent;paneel (objectnaam);Paneel met wapenschild in maaswerk;Massief paneel met gevlamd maaswerk, ingesloten in een accoladeboog bekroond met kruisbloemen. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. Centraal op het paneel is een wapenschild afgebeeld waarvan de wapenfiguren zijn weggekrabd. Rondom het maaswerk is een v-vormige kantlijst aangebracht en werd een brede rand vrij gelaten.  ;1400;1520;onbekendonbekend;ontwerperuitvoerder;""
0880;Design Museum Gent;paneel (objectnaam);Paneel met lederversiering en bloemen;Massief paneel met X-motief en bloemen. ;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0881;Design Museum Gent;paneel (objectnaam);Fragment van een paneel met wapenschild in maaswerk;Fragment van een massief paneel met gotisch maaswerk. Het paneel is ingedeeld in vier verticale stroken die van links naar rechts een roosvenster boven spitsbogen, een Bourgondische vuurslag, een gekroond wapenschild met drie Franse lelies en een gestileerde Franse lelie voorstellen, verwerkt in het maaswerk. De Bourgondische vuurslag werd veelvuldig gebruikt in de politieke propaganda van de Bourgondiërs. Met een vuurslag kunnen vonken van een vuursteen worden geslagen. ;1400;1415;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0882;Design Museum Gent;ornament;Mannelijke kariatide;Massieve mannelijke kariatide die vermoedelijk diende als ondersteuning en decoratie van een Vlaamse buffetkast. Ook de rugzijde is versierd. Een gelijkaardige vrouwelijke kariatide in de collectie van het museum is vermoedelijk afkomstig van hetzelfde meubel. ;1600;1650;onbekendonbekend;ontwerperuitvoerder;""
0883;Design Museum Gent;ornament;Vrouwelijke kariatide;Massieve vrouwelijke kariatide die vermoedelijk diende als ondersteuning en decoratie van een Vlaamse buffetkast. Ook de rugzijde is versierd. Een gelijkaardige mannelijke kariatide in de collectie van het museum is vermoedelijk afkomstig van hetzelfde meubel.;1600;1650;onbekendonbekend;ontwerperuitvoerder;""
0892;Design Museum Gent;paneel (objectnaam);Paneel met lederversiering en bladwerk;Massief paneel met X-motief en bladwerk. ;1400;1520;onbekendonbekend;ontwerperuitvoerder;""
0900;Design Museum Gent;paneel (objectnaam);Paneel met vlechtwerk;Massief paneel met sterk opengewerkte gevlochten banden met druivenranken en acanthusbladeren. Het paneel bestaat uit twee delen, aan de rugzijde aan elkaar vastgemaakt.;1400;1550;onbekendonbekend;ontwerperuitvoerder;""
0902;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met gevlamd maaswerk met vier rozetten onder acanthusbladeren. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. De opbouw van het paneel vertoont sterke gelijkenissen met een ander paneel in de collectie van het museum. ;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0903;Design Museum Gent;paneel (objectnaam);Paneel met lederversiering en bladwerk;Massief paneel met X-motief en bladwerk. ;1400;1499;onbekendonbekend;ontwerperuitvoerder;TongerenTongeren
0913;Design Museum Gent;secrétaire à abattant;Secrétaire à abattant in empirestijl;Deze 'secrétaire à abattant' is een schrijf- en bergmeubel in één. In gesloten toestand is het geheel blokvormig met vlakke zijden, voornamelijk versierd door het beslag met kransmotief en de overhoeks geplaatste kolommen in empirestijl. Het schrijfblad, dat de bovenkast afsluit, kan worden neergelaten ('à abattant') waardoor verschillende kleine lades en vakjes tevoorschijn komen. Deze en vaak ook verborgen laatjes, bewaarden allerlei schrijfbenodigdheden en geheimen, zogenaamde 'secrets', waaraan het meubel zijn naam dankt. Dit type bureau werd heel populair in de tweede helft van de 18de eeuw.;1800;1820;onbekendonbekend;ontwerperuitvoerder;""
0914_0-4;Design Museum Gent;stoel;Vier stoelen met rieten zitting en rugleuning;Deze stoelen met rieten zitting en rugleuning werden aan de voorzijde versierd met symmetrisch snijwerk. De rugleuning is hoog en licht gekromd. Deze lichte welving, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. De S-vormige poten vooraan zijn verbonden en hebben uitgesproken knieën. De achterpoten, die niet versierd werden met snijwerk, lopen zonder onderbreking over in de stijlen van de rugleuning. Stilistisch sluiten de stoelen aan bij de 18de-eeuwse Lodewijk XIV-stijl en tegelijk bij de Engelse William en Mary-stijl. Het riet en de uiteinden van de voorpoten werden vernieuwd. ;1690;1780;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
0914_1-4;Design Museum Gent;stoel;Stoel met rieten zitting en rugleuning;Deze stoel met rieten zitting en rugleuning werd aan de voorzijde versierd met symmetrisch snijwerk. De rugleuning is hoog en licht gekromd. Deze lichte welving, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. De S-vormige poten vooraan zijn verbonden en hebben uitgesproken knieën. De achterpoten, die niet versierd werden met snijwerk, lopen zonder onderbreking over in de stijlen van de rugleuning. Stilistisch sluit de stoel aan bij de 18de-eeuwse Lodewijk XIV-stijl en tegelijk bij de Engelse William en Mary-stijl. Het riet en de uiteinden van de voorpoten werden vernieuwd. ;1690;1780;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
0914_2-4;Design Museum Gent;stoel;Stoel met rieten zitting en rugleuning;Deze stoel met rieten zitting en rugleuning werd aan de voorzijde versierd met symmetrisch snijwerk. De rugleuning is hoog en licht gekromd. Deze lichte welving, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. De S-vormige poten vooraan zijn verbonden en hebben uitgesproken knieën. De achterpoten, die niet versierd werden met snijwerk, lopen zonder onderbreking over in de stijlen van de rugleuning. Stilistisch sluit de stoel aan bij de 18de-eeuwse Lodewijk XIV-stijl en tegelijk bij de Engelse William en Mary-stijl. Het riet en de uiteinden van de voorpoten werden vernieuwd. ;1690;1780;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
0914_3-4;Design Museum Gent;stoel;Stoel met rieten zitting en rugleuning;Deze stoel met rieten zitting en rugleuning werd aan de voorzijde versierd met symmetrisch snijwerk. De rugleuning is hoog en licht gekromd. Deze lichte welving, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. De S-vormige poten vooraan zijn verbonden en hebben uitgesproken knieën. De achterpoten, die niet versierd werden met snijwerk, lopen zonder onderbreking over in de stijlen van de rugleuning. Stilistisch sluit de stoel aan bij de 18de-eeuwse Lodewijk XIV-stijl en tegelijk bij de Engelse William en Mary-stijl. Het riet en de uiteinden van de voorpoten werden vernieuwd. ;1690;1780;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
0914_4-4;Design Museum Gent;stoel;Stoel met rieten zitting en rugleuning;Deze stoel met rieten zitting en rugleuning werd aan de voorzijde versierd met symmetrisch snijwerk. De rugleuning is hoog en licht gekromd. Deze lichte welving, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. De S-vormige poten vooraan zijn verbonden en hebben uitgesproken knieën. De achterpoten, die niet versierd werden met snijwerk, lopen zonder onderbreking over in de stijlen van de rugleuning. Stilistisch sluit de stoel aan bij de 18de-eeuwse Lodewijk XIV-stijl en tegelijk bij de Engelse William en Mary-stijl. Het riet en de uiteinden van de voorpoten werden vernieuwd. ;1690;1780;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
0926;Design Museum Gent;lambriseringpaneel (objectnaam);Briefpaneel;Het paneel bestaat uit vier briefpanelen afgewerkt met acanthusbladeren, vastgemaakt in een geraamte van twee stijlen en vijf korte dwarsliggers. In de tentoonstellingscatalogus van 1982 ('Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen') wordt aangegeven dat dit de zijkant van een kast zou zijn, maar in het waarderingstraject van 2018 werd dit benoemd als lambrisering.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0950;Design Museum Gent;paneel (objectnaam);Paneel met arabesken;Massief paneel met vlecht- en bladwerk, zogenaamde arabesken.;1580;1620;onbekendonbekend;ontwerperuitvoerder;""
0951;Design Museum Gent;paneel (objectnaam);Paneel met 'De lucht';Massief paneel met een allegorische voorstelling van één van de vier elementen: de lucht.;1600;1630;onbekendonbekend;ontwerperuitvoerder;""
0952;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met maaswerk met centrale vierpas. Maaswerk was kenmerkend voor het gotische raamwerk van vensters. Boven- en onderaan zijn verschillende verbindingsgaten te zien op de brede randen. ;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0953;Design Museum Gent;paneel (objectnaam);Paneel met andreaskruis;Massief paneel met een andreaskruis met een centrale rozet. Volgens bijgeloof zou het kruis onheil afweren. In de uitsparingen werden druiventrossen en -bladeren gesneden. Bovenaan werd het paneel met maaswerk versierd. Maaswerk was kenmerkend voor het gotische raamwerk van vensters.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0954;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon;Massief paneel met mannenportret in een centraal medaillon. Het medaillon is omgeven door banden en bladwerk met onderaan een kandelabermotief. ;1550;1599;onbekendonbekend;ontwerperuitvoerder;""
0956;Design Museum Gent;paneel (objectnaam)kast;Paneel met centraal portretmedaillon;Massief paneel met portret in een centraal medaillon. Het medaillon is omgeven door bladwerk. Het paneel vormde vermoedelijk een kastdeur, waarvan de uitgesneden opening voor het slot op de rugzijde van het paneel nog zichtbaar is. De delen van de geprofileerde lijst aan de onder- en bovenkant van het paneel werden uit hetzelfde hout gesneden, terwijl de delen aan de linker- en rechterkant in verstek werden toegevoegd. Een gelijkaardig paneel met een centraal portretmedaillon in de collectie van het museum is vermoedelijk afkomstig van hetzelfde meubel.;1500;1570;onbekendonbekend;ontwerperuitvoerder;""
